org_id remap_id
Action 0
Adventure 1
Animation 2
Children's 3
Comedy 4
Crime 5
Documentary 6
Drama 7
Fantasy 8
Film-Noir 9
Horror 10
Musical 11
Mystery 12
Romance 13
Sci-Fi 14
Thriller 15
War 16
Western 17
1919 18
1920 19
1921 20
1922 21
1923 22
1925 23
1926 24
1927 25
1928 26
1929 27
1930 28
1931 29
1932 30
1933 31
1934 32
1935 33
1936 34
1937 35
1938 36
1939 37
1940 38
1941 39
1942 40
1943 41
1944 42
1945 43
1946 44
1947 45
1948 46
1949 47
1950 48
1951 49
1952 50
1953 51
1954 52
1955 53
1956 54
1957 55
1958 56
1959 57
1960 58
1961 59
1962 60
1963 61
1964 62
1965 63
1966 64
1967 65
1968 66
1969 67
1970 68
1971 69
1972 70
1973 71
1974 72
1975 73
1976 74
1977 75
1978 76
1979 77
1980 78
1981 79
1982 80
1983 81
1984 82
1985 83
1986 84
1987 85
1988 86
1989 87
1990 88
1991 89
1992 90
1993 91
1994 92
1995 93
1996 94
1997 95
1998 96
1999 97
2000 98
